field_1,lat,lng,label,predictions,ids,CLUSTER_ID
95,45.018692,7.665238,2,"7 : 0.84552157, 3 : 0.025091918, 7 : 0.014557877",45435044764,
96,45.018692,7.665238,2,"7 : 0.43311033, 2 : 0.14174978, 7 : 0.079912506",46108118422,
97,45.018692,7.665238,2,"7 : 0.6035883, 7 : 0.16092886, 7 : 0.042291645",46108120152,
98,45.021582,7.66289,2,"8 : 0.4241907, 8 : 0.1563322, 14 : 0.08392882",33354511516,
99,45.023108,7.668669,2,"13 : 0.5204463, 13 : 0.02884227, 8 : 0.02430947",40888358093,
100,45.023108,7.668669,2,"13 : 0.97802645, 13 : 0.0017179637, 13 : 0.0017137509",40888357913,
101,45.023108,7.668669,2,"13 : 0.94438505, 2 : 0.0039915405, 13 : 0.0027415866",46938714965,
102,45.023108,7.668669,2,"13 : 0.9955324, 13 : 0.0012471462, 7 : 0.0004940661",40888357703,
103,45.023108,7.668669,2,"13 : 0.27591944, 7 : 0.2747926, 13 : 0.10164123",46938714655,
104,45.023108,7.668669,2,"2 : 0.66566515, 13 : 0.06223651, 8 : 0.024047472",40888357273,
105,45.023108,7.668669,2,"13 : 0.21257105, 13 : 0.109851204, 7 : 0.08528106",47854998681,
106,45.023108,7.668669,2,"13 : 0.2805229, 13 : 0.057184387, 13 : 0.053843524",47802860512,
107,45.023108,7.668669,2,"13 : 0.9454862, 13 : 0.0022066042, 13 : 0.0020535658",47802860262,
108,45.023108,7.668669,2,"13 : 0.99714464, 13 : 0.00036922493, 8 : 0.0001399303",47802859872,
109,45.023108,7.668669,2,"13 : 0.44790688, 14 : 0.037754856, 13 : 0.029226005",47802859692,
110,45.023108,7.668669,2,"13 : 0.17140836, 13 : 0.037509143, 7 : 0.03679335",47802859482,
111,45.023108,7.668669,2,"13 : 0.42314076, 13 : 0.0504339, 7 : 0.02753532",46938714205,
112,45.023108,7.668669,2,"13 : 0.99507433, 13 : 0.00042734313, 13 : 0.0002816688",47802860072,
113,45.023371,7.669023,2,"5 : 0.36296847, 7 : 0.07261367, 13 : 0.057630517",50188185972,
114,45.023371,7.669023,2,"13 : 0.6427634, 10 : 0.03654357, 8 : 0.020705828",50188191217,
115,45.023371,7.669023,2,"13 : 0.4443194, 9 : 0.15633011, 13 : 0.058752917",50187392378,
116,45.023371,7.669023,2,"13 : 0.20891336, 8 : 0.17304246, 13 : 0.080621585",50187930191,
117,45.023371,7.669023,2,"3 : 0.93359274, 13 : 0.041688494, 7 : 0.0029541233",50187385928,
118,45.023371,7.669023,2,"13 : 0.11271167, 14 : 0.1116964, 5 : 0.066930525",50187388348,
119,45.023371,7.669023,2,"13 : 0.9761011, 13 : 0.0097097885, 11 : 0.00088129955",50187395538,
120,45.023371,7.669023,2,"9 : 0.26056334, 8 : 0.056952987, 14 : 0.03758625",50187935361,
121,45.023371,7.669023,2,"13 : 0.1294543, 9 : 0.10101756, 4 : 0.058427636",50187386868,
122,45.023371,7.669023,2,"7 : 0.091025256, 13 : 0.07978564, 7 : 0.06659893",50187390188,
123,45.023371,7.669023,2,"13 : 0.047054213, 13 : 0.040758684, 9 : 0.031399403",50188192002,
124,45.023371,7.669023,2,"5 : 0.071989596, 9 : 0.07158202, 5 : 0.046590727",50188188072,
125,45.023371,7.669023,2,"7 : 0.28437996, 7 : 0.15202308, 9 : 0.09086756",50187934921,
126,45.023371,7.669023,2,"6 : 0.19309886, 5 : 0.075726375, 8 : 0.05889233",50187394673,
127,45.023371,7.669023,2,"13 : 0.4033199, 13 : 0.10218698, 14 : 0.044338796",50187393763,
128,45.023371,7.669023,2,"13 : 0.116405204, 7 : 0.08392184, 13 : 0.04036341",50188185307,
129,45.023371,7.669023,2,"13 : 0.4044873, 13 : 0.11880677, 7 : 0.038313825",50187931626,
130,45.023371,7.669023,2,"13 : 0.9788928, 13 : 0.011613946, 13 : 0.0053118644",50187928716,
131,45.023371,7.669023,2,"14 : 0.07730231, 13 : 0.07007385, 13 : 0.027585497",50187387818,
132,45.023371,7.669023,2,"13 : 0.1485145, 13 : 0.12843025, 13 : 0.12120273",50188194902,
133,45.023371,7.669023,2,"8 : 0.08979593, 13 : 0.08938501, 13 : 0.03426721",50188185787,
134,45.023371,7.669023,2,"7 : 0.14918305, 13 : 0.07056525, 9 : 0.0467463",50187930726,
135,45.023371,7.669023,2,"2 : 0.30188248, 13 : 0.2592664, 12 : 0.08120154",50188184002,
136,45.023371,7.669023,2,"6 : 0.26527312, 13 : 0.045056254, 13 : 0.033739105",50187937951,
137,45.023371,7.669023,2,"13 : 0.29815215, 13 : 0.13082345, 5 : 0.045631398",50187387248,
138,45.023371,7.669023,2,"7 : 0.32508588, 7 : 0.13740817, 2 : 0.015805367",50187397398,
139,45.023371,7.669023,2,"13 : 0.15675272, 6 : 0.055598073, 2 : 0.052178476",50187396988,
140,45.023371,7.669023,2,"7 : 0.18620554, 2 : 0.15479815, 13 : 0.053895727",50187933791,
141,45.023371,7.669023,2,"13 : 0.071054235, 13 : 0.06377904, 9 : 0.037560634",50187389003,
142,45.023371,7.669023,2,"13 : 0.06503492, 13 : 0.044487614, 9 : 0.040244255",50187389083,
143,45.023371,7.669023,2,"13 : 0.06374366, 13 : 0.05382143, 2 : 0.048274305",50187392238,
144,45.023371,7.669023,2,"2 : 0.07891112, 9 : 0.058321074, 13 : 0.051345773",50187389823,
145,45.023371,7.669023,2,"8 : 0.17643537, 9 : 0.11184426, 4 : 0.10480282",50188184657,
146,45.023371,7.669023,2,"6 : 0.06410609, 5 : 0.038949315, 13 : 0.03672815",50187936686,
147,45.023371,7.669023,2,"13 : 0.21138391, 13 : 0.10075963, 2 : 0.06752377",50188189382,
148,45.023371,7.669023,2,"2 : 0.086364396, 13 : 0.08353172, 14 : 0.06966459",50187932426,
149,45.023371,7.669023,2,"6 : 0.3360634, 6 : 0.088510014, 6 : 0.07583648",50187936991,
150,45.023371,7.669023,2,"2 : 0.115127325, 2 : 0.09714438, 13 : 0.061366405",50187395313,
151,45.023371,7.669023,2,"9 : 0.34790814, 14 : 0.0657688, 2 : 0.05235691",50188184462,
152,45.023371,7.669023,2,"13 : 0.33263144, 7 : 0.102108724, 7 : 0.022903878",50187934336,
153,45.023371,7.669023,2,"6 : 0.4394456, 13 : 0.027003165, 13 : 0.016998287",50188188472,
154,45.023371,7.669023,2,"2 : 0.5129448, 9 : 0.025707996, 13 : 0.0123591935",50188190757,
155,45.023371,7.669023,2,"7 : 0.6615954, 7 : 0.041475937",50187391828,
156,45.023371,7.669023,2,"9 : 0.25887212, 9 : 0.14536493, 9 : 0.067013346",50188195907,
157,45.023371,7.669023,2,"7 : 0.06591752, 9 : 0.04006621, 5 : 0.033539813",50187385833,
158,45.023371,7.669023,2,"9 : 0.50148106, 9 : 0.25750545, 2 : 0.03253467",50187399368,
159,45.023371,7.669023,2,"2 : 0.7339396, 6 : 0.040131193, 6 : 0.024807684",50187398423,
160,45.023371,7.669023,2,"13 : 0.23340514, 13 : 0.052386276, 7 : 0.022120126",50188195847,
161,45.023371,7.669023,2,"13 : 0.10358709, 13 : 0.048853766, 2 : 0.02932371",50188195062,
162,45.023371,7.669023,2,"7 : 0.11577684, 6 : 0.106676325, 7 : 0.028476305",50188187832,
163,45.023371,7.669023,2,"12 : 0.9085651, 2 : 0.016712064, 2 : 0.0019160067",50188195227,
164,45.023371,7.669023,2,"8 : 0.13553847, 9 : 0.10969721, 6 : 0.061368883",50187398688,
165,45.023371,7.669023,2,"13 : 0.16905479, 7 : 0.0955089, 13 : 0.069769725",50187940571,
166,45.023371,7.669023,2,"6 : 0.0823652, 6 : 0.08093551, 6 : 0.053826228",50187940336,
167,45.023371,7.669023,2,"13 : 0.13181889, 7 : 0.063467905, 2 : 0.033253014",50187927511,
168,45.023371,7.669023,2,"6 : 0.11205999, 6 : 0.10599665, 6 : 0.08201471",50187932941,
169,45.023371,7.669023,2,"7 : 0.1684585, 7 : 0.10562771, 7 : 0.054493126",50188183632,
170,45.023371,7.669023,2,"2 : 0.21202345, 2 : 0.14202662, 2 : 0.054708198",50188187952,
171,45.023371,7.669023,2,"14 : 0.043272045, 13 : 0.040884454, 6 : 0.03979096",50187934481,
172,45.023371,7.669023,2,"13 : 0.54994845, 13 : 0.1004344, 7 : 0.06447484",50187933591,
173,45.023371,7.669023,2,"14 : 0.15119635, 13 : 0.11370486, 13 : 0.06378246",50187393633,
174,45.023371,7.669023,2,"8 : 0.53551424, 13 : 0.16550566, 7 : 0.059659798",50187388713,
175,45.023371,7.669023,2,"13 : 0.19040228, 13 : 0.16810219, 13 : 0.14283113",50188193052,
176,45.023371,7.669023,2,"13 : 0.24847649, 12 : 0.039275773, 2 : 0.021747142",50187929851,
177,45.023371,7.669023,2,"13 : 0.77072877, 8 : 0.033898406, 13 : 0.029321715",50188183802,
178,45.023371,7.669023,2,"7 : 0.6209824, 13 : 0.04483772, 5 : 0.024465127",50188188682,
179,45.023371,7.669023,2,"13 : 0.40135622, 2 : 0.10496902, 13 : 0.09354038",50187391213,
180,45.023371,7.669023,2,"5 : 0.09462574, 2 : 0.031380896, 5 : 0.028901912",50187398798,
181,45.023371,7.669023,2,"13 : 0.05131752, 14 : 0.034805976, 8 : 0.03286021",50187932301,
