id,predictions,CLUSTER_ID
1.65638766292614E+018,"2 : 0.23419385, 2 : 0.22856966, 4 : 0.1436026",15
1.65141299108372E+018,"4 : 0.22386768, 3 : 0.16193862, 2 : 0.12137478",15
1.65086451422279E+018,"3 : 0.7822462, 3 : 0.15242903, 3 : 0.010176933",15
1.62379724565598E+018,"3 : 0.80553406, 3 : 0.065913424, 3 : 0.008865007",15
1.61602575342044E+018,"10 : 0.37127396, 3 : 0.28047982, 2 : 0.050242588",15
1.60577883772622E+018,"11 : 0.19296676, 1 : 0.10514363, 13 : 0.096113734",15
1.59849786762641E+018,"9 : 0.5848272, 13 : 0.047619328, 4 : 0.040343955",15
1.59738811333074E+018,"3 : 0.18234785, 2 : 0.15866749, 3 : 0.0428618",15
1.5768440739515E+018,"3 : 0.1264071, 4 : 0.1246019, 12 : 0.09734775",15
1.52312747798623E+018,"12 : 0.032985084, 4 : 0.025544703, 7 : 0.023853242",15
1.51651102627509E+018,"13 : 0.6907155, 5 : 0.08532647, 10 : 0.039298173",15
1.51159663734376E+018,"7 : 0.41539443, 6 : 0.08897611, 6 : 0.06253201",15
1.50003388757657E+018,"7 : 0.48130915, 3 : 0.100087486, 12 : 0.058248572",15
1.49861970703233E+018,"3 : 0.16711238, 3 : 0.12228133, 3 : 0.074677326",15
1.49196022877271E+018,"2 : 0.063069396, 2 : 0.04220918, 3 : 0.03416235",15
1.47952679728859E+018,"7 : 0.16176893, 3 : 0.12013783, 3 : 0.060752135",15
1.48485479781924E+018,"3 : 0.8494651, 3 : 0.02136657, 3 : 0.016202146",15
1.87339703618442E+018,"1 : 0.78691196, 1 : 0.06173719, 11 : 0.035055492",17
1.87254390147156E+018,"1 : 0.9488518, 1 : 0.003516123, 11 : 0.0011701998",17
1.87138118379782E+018,"1 : 0.3413197, 1 : 0.082220756, 11 : 0.06810174",17
1.86674242940129E+018,"1 : 0.8636704, 1 : 0.094074614, 11 : 0.02474659",17
1.56668854990067E+018,"1 : 0.5496623, 1 : 0.08088702, 11 : 0.016389247",17
1.5655228374771E+018,"1 : 0.27225056, 11 : 0.04883663, 7 : 0.04470552",17
1.56251734997337E+018,"13 : 0.06658119, 1 : 0.05722943, 7 : 0.04602671",17
1.55720651833184E+018,"1 : 0.17172797, 12 : 0.070243806, 5 : 0.061540302",17
1.55665770813911E+018,"9 : 0.6153526, 2 : 0.15064196, 1 : 0.094435796",17
1.55143582794688E+018,"13 : 0.45830587, 13 : 0.1436812, 13 : 0.09015804",17
1.54935807767321E+018,"11 : 0.16175139, 1 : 0.0918437, 11 : 0.05857627",17
1.54811723091902E+018,"1 : 0.90619254, 1 : 0.011591721, 11 : 0.0014590495",17
1.54360695031887E+018,"2 : 0.7184716, 2 : 0.26824826, 3 : 0.005124546",17
1.54200928398047E+018,"1 : 0.48400322, 1 : 0.15257335, 11 : 0.12611376",17
