field_1,lat,lng,label,cores,CLUSTER_ID,CLUSTER_SIZE,CLUSTER_ID_2,CLUSTER_SIZE_2
"10954",45.062658,7.671797,"1","1","14","6064","4","522"
"10957",45.062663,7.679675,"1","1","14","6064","4","522"
"10960",45.06268,7.677461,"1","1","14","6064","4","522"
"10963",45.062684,7.678896,"1","1","14","6064","4","522"
"10969",45.062686,7.678108,"1","1","14","6064","4","522"
"10989",45.062713,7.679255,"1","1","14","6064","4","522"
"10994",45.062722,7.6789,"1","1","14","6064","4","522"
"10995",45.062722,7.6789,"1","1","14","6064","4","522"
"10996",45.062722,7.6789,"1","1","14","6064","4","522"
"10997",45.062722,7.6789,"1","1","14","6064","4","522"
"10998",45.062722,7.6789,"1","1","14","6064","4","522"
"10999",45.062722,7.6789,"1","1","14","6064","4","522"
"11000",45.062722,7.6789,"1","1","14","6064","4","522"
"11001",45.062722,7.6789,"1","1","14","6064","4","522"
"11002",45.062722,7.6789,"1","1","14","6064","4","522"
"11003",45.062722,7.6789,"1","1","14","6064","4","522"
"11004",45.062722,7.6789,"1","1","14","6064","4","522"
"11005",45.062722,7.6789,"1","1","14","6064","4","522"
"11006",45.062722,7.6789,"1","1","14","6064","4","522"
"11007",45.062722,7.6789,"1","1","14","6064","4","522"
"11008",45.062722,7.6789,"1","1","14","6064","4","522"
"11009",45.062722,7.6789,"1","1","14","6064","4","522"
"11010",45.062722,7.6789,"1","1","14","6064","4","522"
"11011",45.062722,7.6789,"1","1","14","6064","4","522"
"11012",45.062722,7.6789,"1","1","14","6064","4","522"
"11013",45.062722,7.6789,"1","1","14","6064","4","522"
"11014",45.062722,7.6789,"1","1","14","6064","4","522"
"11015",45.062722,7.6789,"1","1","14","6064","4","522"
"11016",45.062722,7.6789,"1","1","14","6064","4","522"
"11017",45.062722,7.6789,"1","1","14","6064","4","522"
"11018",45.062722,7.6789,"1","1","14","6064","4","522"
"11019",45.062722,7.6789,"1","1","14","6064","4","522"
"11020",45.062722,7.6789,"1","1","14","6064","4","522"
"11021",45.062722,7.6789,"1","1","14","6064","4","522"
"11022",45.062722,7.6789,"1","1","14","6064","4","522"
"11023",45.062722,7.6789,"1","1","14","6064","4","522"
"11024",45.062722,7.6789,"1","1","14","6064","4","522"
"11025",45.062722,7.6789,"1","1","14","6064","4","522"
"11026",45.062722,7.6789,"1","1","14","6064","4","522"
"11027",45.062722,7.6789,"1","1","14","6064","4","522"
"11028",45.062722,7.6789,"1","1","14","6064","4","522"
"11029",45.062722,7.6789,"1","1","14","6064","4","522"
"11030",45.062722,7.6789,"1","1","14","6064","4","522"
"11031",45.062722,7.6789,"1","1","14","6064","4","522"
"11032",45.062722,7.6789,"1","1","14","6064","4","522"
