lat,lng,ids,predictions,label,CLUSTER_ID
45.06954,7.68792,"2,12703678436274E+018","7 : 0.6868821, 13 : 0.031894658, 2 : 0.024261862",0,16
45.06954,7.68792,"2,12630623374618E+018","4 : 0.12888601, 2 : 0.08235248, 5 : 0.03391348",0,16
45.06954,7.68792,"2,12630568956024E+018","4 : 0.107973985, 2 : 0.10020142, 13 : 0.04381805",0,16
45.06954,7.68792,"2,12624286136946E+018","2 : 0.5304933, 7 : 0.08533295, 7 : 0.041088983",0,16
45.06954,7.68792,"2,12282528552841E+018","3 : 0.124602795, 7 : 0.06027645, 12 : 0.054992534",0,16
45.06954,7.68792,"2,12262219701825E+018","7 : 0.6110075, 7 : 0.3553983, 3 : 0.0019015808",0,16
45.06954,7.68792,"2,12134324216019E+018","2 : 0.63387865, 7 : 0.032199915, 13 : 0.029284308",0,16
45.06954,7.68792,"2,12118270887405E+018","7 : 0.61263734, 7 : 0.17347051, 7 : 0.04858232",0,16
45.06954,7.68792,"2,12054638334702E+018","2 : 0.1027412, 2 : 0.090151325, 2 : 0.0559547",0,16
45.06954,7.68792,"2,11541923382432E+018","2 : 0.13041948, 7 : 0.09107539, 3 : 0.0674933",0,16
45.06954,7.68792,"2,11173185077172E+018","7 : 0.32466358, 12 : 0.18478647, 12 : 0.090467",0,16
45.06954,7.68792,"2,11097505486833E+018","7 : 0.264463, 7 : 0.15623873, 2 : 0.050740734",0,16
45.06954,7.68792,"2,11038841802758E+018","2 : 0.62722826, 7 : 0.034250744, 13 : 0.024248578",0,16
45.06954,7.68792,"2,10966711684098E+018","13 : 0.19755052, 2 : 0.0917078, 5 : 0.07270666",0,16
45.06954,7.68792,"2,10888164515835E+018","5 : 0.17452177, 5 : 0.10681225, 5 : 0.08789812",0,16
45.06954,7.68792,"2,10888131347492E+018","5 : 0.15609348, 5 : 0.12232444, 2 : 0.07613271",0,16
45.06954,7.68792,"2,10885990761805E+018","2 : 0.58389485, 12 : 0.109088466, 7 : 0.08594833",0,16
45.06954,7.68792,"2,10814342633262E+018","2 : 0.43129414, 2 : 0.18197444, 3 : 0.05488045",0,16
45.06954,7.68792,"2,10808710004282E+018","2 : 0.32372496, 7 : 0.17020917, 3 : 0.13158442",0,16
45.06954,7.68792,"2,10446019188088E+018","2 : 0.8192909, 7 : 0.08779324, 7 : 0.0057499227",0,16
45.06954,7.68792,"2,10445615078013E+018","2 : 0.84929645, 7 : 0.05968339, 6 : 0.0065975566",0,16
45.06954,7.68792,"2,10305282688127E+018","1 : 0.29540178, 2 : 0.07566425, 12 : 0.04437471",0,16
45.06954,7.68792,"2,10157072762803E+018","7 : 0.7593391, 7 : 0.072711445, 10 : 0.05325099",0,16
45.06954,7.68792,"2,09950205547241E+018","6 : 0.3340569, 2 : 0.15260015, 7 : 0.06934846",0,16
45.06954,7.68792,"2,09662555923384E+018","7 : 0.21353061, 2 : 0.15354607, 2 : 0.07692833",0,16
45.06954,7.68792,"2,0958753185324E+018","7 : 0.24041817, 13 : 0.11558813, 2 : 0.07237491",0,16
45.06954,7.68792,"2,09375305619063E+018","7 : 0.6534796, 2 : 0.053301126, 6 : 0.0419882",0,16
45.06954,7.68792,"2,09367980367797E+018","7 : 0.51985043, 7 : 0.14129417, 7 : 0.067235895",0,16
45.06954,7.68792,"2,09289278248725E+018","2 : 0.6099666, 2 : 0.05954209, 7 : 0.055958495",0,16
45.06954,7.68792,"2,09289085477664E+018","2 : 0.6452072, 7 : 0.04350253, 13 : 0.015682468",0,16
45.06954,7.68792,"2,08425143895713E+018","2 : 0.08616612, 7 : 0.08489567, 11 : 0.06871348",0,16
45.06954,7.68792,"2,08420023870234E+018","9 : 0.25907648, 8 : 0.12711878, 2 : 0.06715669",0,16
45.06954,7.68792,"2,08419962817093E+018","9 : 0.29947728, 8 : 0.10873142, 2 : 0.06783983",0,16
45.06954,7.68792,"2,0827898254564E+018","2 : 0.16877677, 9 : 0.1459505, 2 : 0.095286146",0,16
45.06954,7.68792,"2,08134819575096E+018","7 : 0.44310656, 2 : 0.19805832, 7 : 0.18297733",0,16
45.06954,7.68792,"2,0813372259598E+018","2 : 0.28077278, 2 : 0.19582741, 7 : 0.0884047",0,16
45.06954,7.68792,"2,08059466585122E+018","2 : 0.38150162, 4 : 0.06739544, 4 : 0.034348097",0,16
45.06954,7.68792,"2,0805931531168E+018","7 : 0.35413396, 2 : 0.15147638, 2 : 0.05667508",0,16
45.06954,7.68792,"2,0797895160397E+018","5 : 0.26229045, 5 : 0.12118672, 5 : 0.08460777",0,16
45.06954,7.68792,"2,07915697529336E+018","7 : 0.26046932, 7 : 0.18385974, 2 : 0.04099604",0,16
