lat,lng,ids,predictions,label,CLUSTER_ID
45.013842,7.75286,27756352658,"11 : 0.21530122, 13 : 0.09818731, 4 : 0.07383852",1,6.0
45.013842,7.75286,26756898477,"7 : 0.58952653, 10 : 0.08882822, 7 : 0.07246758",1,6.0
45.016621,7.750114,46268605384,"7 : 0.71648824, 14 : 0.16071703, 2 : 0.022190193",1,6.0
45.017592,7.752678,42441528045,"5 : 0.94001937, 5 : 0.015179392, 5 : 0.001626805",1,6.0
45.017592,7.752678,41536289550,"11 : 0.4135105, 1 : 0.19045761, 11 : 0.06545778",1,6.0
45.017592,7.752678,42441525875,"9 : 0.22590528, 2 : 0.19993638, 9 : 0.101643905",1,6.0
45.017592,7.752678,41536287100,"9 : 0.6958181, 9 : 0.25035766, 9 : 0.0060987896",1,6.0
45.017592,7.752678,42584367054,"7 : 0.2503079, 7 : 0.10602317, 7 : 0.038321927",1,6.0
45.017592,7.752678,43302784601,"7 : 0.10529254, 7 : 0.13190582",1,6.0
45.017592,7.752678,29432785408,"7 : 0.6523345, 14 : 0.13953672, 7 : 0.03399937",1,6.0
45.017592,7.752678,42398216675,"9 : 0.4975707, 7 : 0.10247575, 13 : 0.028030971",1,6.0
45.017592,7.752678,43302782951,"7 : 0.68791866, 9 : 0.017036317, 14 : 0.012905223",1,6.0
45.017592,7.752678,42398219175,"7 : 0.28159648, 7 : 0.27561423, 7 : 0.07802764",1,6.0
45.017592,7.752678,43252979772,"7 : 0.18094693, 7 : 0.08063354, 6 : 0.05433085",1,6.0
45.017592,7.752678,43252984162,"7 : 0.23687038, 7 : 0.11988738, 7 : 0.10505703",1,6.0
45.017269,7.757683,48509562602,"12 : 0.08664649, 7 : 0.051712245, 12 : 0.047790904",1,6.0
45.017777,7.748888,28439727189,"4 : 0.5856508, 2 : 0.08976125, 2 : 0.048133083",1,6.0
45.018692,7.665238,43980513671,"3 : 0.96685743, 7 : 0.006947581, 7 : 0.0068663773",2,7.0
45.018692,7.665238,30920114807,"10 : 0.18897142, 13 : 0.06679236, 13 : 0.06666591",2,7.0
45.018692,7.665238,45783831192,"13 : 0.71091664, 2 : 0.059930418, 13 : 0.023055434",2,7.0
45.018692,7.665238,44016418080,"13 : 0.31162673, 13 : 0.060396016, 13 : 0.03707339",2,7.0
45.018692,7.665238,45108536474,"2 : 0.6695632, 4 : 0.1993147, 13 : 0.024935268",2,7.0
45.018692,7.665238,44016416010,"7 : 0.31757832, 7 : 0.13369092, 7 : 0.021078868",2,7.0
45.018692,7.665238,31962318198,"7 : 0.0935434, 7 : 0.087894835, 7 : 0.049542278",2,7.0
45.018692,7.665238,44016414820,"7 : 0.7887903, 7 : 0.045355264, 4 : 0.025847964",2,7.0
45.018692,7.665238,32287370418,"13 : 0.86592335, 7 : 0.07990832, 7 : 0.013594981",2,7.0
45.018692,7.665238,31219500707,"7 : 0.1623965, 12 : 0.13229734, 13 : 0.12324249",2,7.0
45.018692,7.665238,31219499877,"7 : 0.72757554, 7 : 0.017427508",2,7.0
45.018692,7.665238,45246479235,"7 : 0.2731993, 7 : 0.25356916, 7 : 0.21256885",2,7.0
45.018692,7.665238,45246478055,"7 : 0.5615072, 4 : 0.18317424, 7 : 0.048971187",2,7.0
45.018692,7.665238,45435040814,"7 : 0.39323196, 3 : 0.24197744, 7 : 0.040270865",2,7.0
45.018692,7.665238,45246475965,"2 : 0.968797, 3 : 0.0056118295, 7 : 0.00530677",2,7.0
45.018692,7.665238,45435038364,"7 : 0.9063839, 3 : 0.033384632, 2 : 0.012155464",2,7.0
45.018692,7.665238,46108130752,"3 : 0.1727006, 7 : 0.0475997, 7 : 0.04206245",2,7.0
45.018692,7.665238,46108129722,"7 : 0.3910183, 7 : 0.16713233, 4 : 0.10135494",2,7.0
45.018692,7.665238,45435036294,"7 : 0.9012529, 7 : 0.009024088, 7 : 0.007203154",2,7.0
45.018692,7.665238,46108128202,"7 : 0.17347357, 7 : 0.08672359, 8 : 0.079118125",2,7.0
45.018692,7.665238,32287391198,"7 : 0.70280105, 7 : 0.036820874, 7 : 0.01935848",2,7.0
45.018692,7.665238,46108126712,"7 : 0.20827013, 7 : 0.14006197, 7 : 0.13631785",2,7.0
45.018692,7.665238,45435034424,"2 : 0.25190082, 7 : 0.15604025, 2 : 0.15267742",2,7.0
45.018692,7.665238,32287387448,"7 : 0.14990228, 7 : 0.10805127",2,7.0
45.018692,7.665238,46108123862,"7 : 0.6339837, 7 : 0.07962864, 7 : 0.071458176",2,7.0
45.018692,7.665238,32287384888,"7 : 0.5185498, 7 : 0.20212242, 7 : 0.07346069",2,7.0
45.018692,7.665238,44341805400,"9 : 0.20015143, 7 : 0.16216812, 7 : 0.16069198",2,7.0
45.018692,7.665238,46108121992,"7 : 0.67330974, 3 : 0.27347866, 7 : 0.013240023",2,7.0
45.018692,7.665238,44341804490,"7 : 0.34863064, 7 : 0.17533994, 3 : 0.057398047",2,7.0
45.018692,7.665238,32287379838,"7 : 0.9822182, 3 : 0.0036770378, 4 : 0.0006299948",2,7.0
45.018692,7.665238,46108119282,"7 : 0.04206224, 7 : 0.11001548",2,7.0
45.018692,7.665238,32287377758,"7 : 0.12095524, 7 : 0.08722085, 7 : 0.063449614",2,7.0
