name,lat,lon,count,ID_QU_C_SI,TAVOLA_BN,TAVOLA_CO
"23",45.0810240717,7.6287543675,"49","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"23",45.0810240717,7.6287543675,"49",,,
"23",45.0810240717,7.6287543675,"49",,"10",
"24",45.0721717,7.678401,"249","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"24",45.0721717,7.678401,"249",,,
"24",45.0721717,7.678401,"249",,"10",
"25",45.06243,7.68062,"209","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"25",45.06243,7.68062,"209",,,
"25",45.06243,7.68062,"209",,"10",
"26",45.0423113185,7.6713144965,"39","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"26",45.0423113185,7.6713144965,"39",,,
"26",45.0423113185,7.6713144965,"39",,"10",
"27",45.0692901092,7.6849586298,"521","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"27",45.0692901092,7.6849586298,"521",,,
"27",45.0692901092,7.6849586298,"521",,"10",
"28",45.05215,7.67614,"597","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"28",45.05215,7.67614,"597",,,
"28",45.05215,7.67614,"597",,"10",
